speaker_id,is_admin,history_text
Doh286,False,"[Doh286]: He was drafted by New Jersey in the 2009 NHL player draft.
[Doh286]: Both players signed PTO'S with Lake Erie."
Egyegy,False,"[Egyegy]: Since you were the blocking admin of [[User:Taharqa|Taharqa]], could you take a look at these attacks that he made during his block [http:\/\/en.wikipedia.org\/w\/index.php?title=User_talk:Lanternix&diff=147743954&oldid=147609324]: \""I guess an ego-maniac delusional Arab wouldn't perceive that as owning up\"" and the rest of his rant. He edited the article [[Saint Maurice]] twice when he was blocked. I am trying to do the right thing here without responding to him because I don't want to inflame the situation if I respond angrily. Thank you."
Arsenikk,False,"[Arsenikk]: Thanks for adding the map coordinated to the Oslo T-bane stations :) Could you just stick in {{tl|oslo-metro-stub}} while you are at it instead of the other stub types. Saves me having to add the stub type myself later. Thanks <font face=\""serif\"">
[Arsenikk]: The article [[Electoral district of Perth]] you nominated as a [[Wikipedia:Good article nominations|good article]] has been placed on hold [[Image:Symbol wait.svg|20px]]. It hasn't failed because it's basically a good article, but there are some minor changes or clarifications needed to be addressed. If these are fixed within seven days, the article will pass, otherwise it will fail. See [[Talk:Electoral district of Perth]] for things needed to be addressed. <font face=\""serif\"">
[Arsenikk]: The article [[Electoral district of Perth]] you nominated as a [[Wikipedia:Good article nominations|good article]] has been placed on hold [[Image:Symbol wait.svg|20px]]. It hasn't failed because it's basically a good article, but there are some minor changes or clarifications needed to be addressed. If these are fixed within seven days, the article will pass, otherwise it will fail. See [[Talk:Electoral district of Perth]] for things needed to be addressed. <font face=\""serif\"">
[Arsenikk]: The article [[Electoral district of Perth]] you nominated as a [[Wikipedia:Good article nominations|good article]] has been placed on hold [[Image:Symbol wait.svg|20px]]. It hasn't failed because it's basically a good article, but there are some minor changes or clarifications needed to be addressed. If these are fixed within seven days, the article will pass, otherwise it will fail. See [[Talk:Electoral district of Perth]] for things needed to be addressed. <font face=\""serif\"">
[Arsenikk]: Hi. You may have missed it, but I had a follow-up question under the first point at [[Wikipedia:Featured list candidates\/List of Sacramento Regional Transit light rail stations\/archive1]]. <font face=\""serif\"">
[Arsenikk]: Hey! Did you finish fixing up everything at [[Talk:Hobart International Airport\/GA1]]? Nice if you could leave a note there when you're done so I know when to come back and looks things over. <font face=\""serif\"">
[Arsenikk]: Remember that at GA, an article does not need to be longer than what can be found in reliable sources; i.e. if there are no RS around from which to write the history, it cannot be required. On the other hand, news archives (at least online ones) can often provide some RS. For instance, in my recent GA [[V\xe6r\xf8y Airport]] (which was a strip with two daily services) I used a combination of an archaic book from the library about the airline for the pre-airport history, and a closed news search engine (which I only have access to because I'm a university student) to find news reports from back then. Most of the history actually dates from an \""convenient\"" accident report which would close the article. These are some possible RS; there may be others, or there may be very little. In a way, it is often up to the discretion of the author of smaller articles to determine when there is no more to say. <font face=\""serif\"">
[Arsenikk]: Hi. I notice you have spent the morning [at least in my timezone] moving masses of articles, such [[Greece\u2013Norway relations]] to [[Greece \u2013 Norway relations]]. Why? The [[WP:MOS|Manual of Style]] is very clear on this issue: \""Disjunctive en dashes are unspaced, except when there is a space within either one or both of the items ({{xt|the New York&nbsp;\u2013 Sydney flight}}; {{xt|the New Zealand&nbsp;\u2013 South Africa grand final}}; {{xt|June 3, 1888&nbsp;\u2013 August 18, 1940}}, but {{xt|June\u2013August 1940}}).\"" As for instance both 'Norway' and 'Greece' consist of a single world, there is no room for interpretation and the articles should have remaind where they were. I have also failed to find any kind of discussion about the issue before you went around with such a massive move. <font face=\""serif\"">
[Arsenikk]: The MOS says that by default en dashes [in this use] are not spaced. However, if one of the two \""items\"" has two or more words, then the en dash is spaced. For instance, [[Norway \u2013 United States relations]] is correctly spaced, because 'United States' consists of two or more worlds. On the other hand [[Norway\u2013Sweden relations]] is not to have such a space, because both 'Norway' and 'Sweden' only consist of a single word. I would strongly recommend you move back all the moves where both countries are single-worded, and in the future please make sure you understand the naming conventions and Manual of Style before doing massive moves to articles. <font face=\""serif\"">
[Arsenikk]: I notice you reverted [http:\/\/en.wikipedia.org\/w\/index.php?title=Vehicle&action=historysubmit&diff=403523377&oldid=403460215 my edits] of [[vehicle]], stating \""restore lost references\"". This is an counterproductive revert. The article is in dire need of a clean-up, for which my edit was a small step. It is hard to me to believe you even looked at my edit, which contains removal of inappropriate legal definitions in a single province (which had a different scope than the article), merging of several small and trivial sections, copyediting, removal of out-of-scope content, formatting, and removal of out-of-scope external links. The one reference that was removed, was done so of a good reason, because a legal definition from that province directly contradicts the definition of a vehicle on Wikipedia. Please be more careful with reverts in the future. Just because references are being removed, does not mean the edits are disruptive. Thank you for your understanding, <font face=\""serif\"">
[Arsenikk]: Hi. I've been asked to create articles on [[K-point]] and [[hill size]] at FLC. Perhaps you could help me by translating the terms in [[:File:Hoppbakke-skjema.svg]]. If I could just figure out the English terms, I can translate the file and it would make my life a lot easier. <font face=\""serif\"">
[Arsenikk]: Hi. I've been asked to create articles on [[K-point]] and [[hill size]] at FLC. Perhaps you could help me by translating the terms in [[:File:Hoppbakke-skjema.svg]]. If I could just figure out the English terms, I can translate the file and it would make my life a lot easier. <font face=\""serif\"">
[Arsenikk]: Thanks, those were the ones I was wondering about. <font face=\""serif\"">
[Arsenikk]: Thanks, those were the ones I was wondering about. <font face=\""serif\"">
[Arsenikk]: Any idea of what \""hoved-NM i friidrett\"" is in English? <font face=\""serif\"">
[Arsenikk]: Any idea of what \""hoved-NM i friidrett\"" is in English? <font face=\""serif\"">
[Arsenikk]: Yes, I understood. Thanks (and also for the comments at Stampesletta), <font face=\""serif\"">
[Arsenikk]: Yes, I understood. Thanks (and also for the comments at Stampesletta), <font face=\""serif\"">
[Arsenikk]: I'm sorry to hear about you're retirement, but sometimes hard prioritizing is important. You're contributions have been most appreciated; perhaps one day you'll be back. All the best for your future, <font face=\""serif\"">
[Arsenikk]: Hi, I've now added the information on Stampesletta to Lillehammer IF; sorry for taking so much time, it simply slipped my mind. On a completely different issue: I just created [[List of Rosenborg BK seasons]], and have a challenge regarding the [[2008 UEFA Intertoto Cup]]. RBK \""won\"" the tournament (as one of eleven teams), but then they didn't really win it after all, since the team who went the furtherest in the UEFA Cup actually won it. Any idea how to formulate this in the table? Is there a different term that could be used instead of \""winner\""? Thanks, <font face=\""serif\"">
[Arsenikk]: Hi, I've now added the information on Stampesletta to Lillehammer IF; sorry for taking so much time, it simply slipped my mind. On a completely different issue: I just created [[List of Rosenborg BK seasons]], and have a challenge regarding the [[2008 UEFA Intertoto Cup]]. RBK \""won\"" the tournament (as one of eleven teams), but then they didn't really win it after all, since the team who went the furtherest in the UEFA Cup actually won it. Any idea how to formulate this in the table? Is there a different term that could be used instead of \""winner\""? Thanks, <font face=\""serif\"">
[Arsenikk]: To follow up on the non-article comments from the Kristins Hall review: I have been doing some work with the [[1994 Winter Olympics]]; the article needs a decent copyedit (I just have to get around to it) and it should slide through GA. At the moment the article has some shortcomings that I am very aware of, and currently there is little use in anyone else fixing much to it. Once past GA, I'll need some help to get it up to FA standards, if you are interested in collaborating about that. I've brought or nominated seven 1994 venues for GA, in addition to having brought [[venues of the 1994 Winter Olympics]] to FL. On slightly more long term plans, I might do the same with the 1952 Games. I tend to switch a bit around topics, right now I'm doing some stuff on football, so I don't know when I'll be back to Olympics articles. <font face=\""serif\"">
[Arsenikk]: Is there anything more to say about [[Superfinalen]]? I was thinking of GA nominating it, but it seems a bit short. On the other hand, I don't know what else to write about it. <font face=\""serif\"">
[Arsenikk]: Is there anything more to say about [[Superfinalen]]? I was thinking of GA nominating it, but it seems a bit short. On the other hand, I don't know what else to write about it. <font face=\""serif\"">
[Arsenikk]: Details about the ski jump are at [[Holmenkollbakken]] (fully referenced). I find the Olympics article a bit unclear in that the hill had been rebuilt many times between 1892 and 1952, see for instance the difference between [[:File:Holmenkollbakken 1904.jpg|1904]] and [[:File:Holmenkollbakken 1934.jpg|1934]] (both images). In the 1952 article, it gives the impression that the hill had remained constant since 1892, which is not the case. The bit about the wooden superstructure being replaced with concrete is accurate, though, as this was done for the Olympics. <font face=\""serif\"">
[Arsenikk]: Congratulations! Nice piece of work. <font face=\""serif\"">
[Arsenikk]: You are free to raise the issue at [[Wikipedia:Deletion review|deletion review]], but please understand our [[Wikipedia:Notability|policy on notability]] first. The process is fully transparent and all issues relating to it are raised on the link above. <font face=\""serif\"">
[Arsenikk]: I've been on vacation and have the situation under control. But thank you for the thumbs up (and the listings above). <font face=\""serif\"">
[Arsenikk]: Thank you for your concerns. All is well with me and those close to me. I attended a youth camp some years ago at the island, and I remember bathing in the lake and eating in the cafeteria. It has made quite the impact on myself and the whole country. <font face=\""serif\"">
[Arsenikk]: Hey! I'm on my last week of vacation now. hopefully back home on Saturday, and then I'll have more time for this stuff. I've sort of been working on the article, but I haven't saved it online. The list needs some explanatory text and a few other things and after that it will need a copyedit. I have pretty good control over lists, but I'll ask for feedback after I've done a copyedit and slight expansion of the article. Thanks for the cooperation :) <font face=\""serif\"">"
{unknown-5016},False,"[{unknown-5016}]: {{od|::::::::::::::}}I'm not too sure. One of the things I do is standardisation of templates and their documentation, like [[Template:Current daylight saving offset documentation]] and [[Template:File deletion template notice]], which hold common documentation for several templates. If you find more templates where [[Template:File deletion template notice]] can be used, you can transclude it onto the relevant documentation subpages. There are examples under \""''see also''\"" at [[Template:File deletion template notice]]. Something slightly easier you could do is look out for templates with documentation that isn't on a subpage. You can then move the documentation to the subpage. An example of this can be seen at [[Template:SD warn-needed]] and [[Template:SD warn-needed\/doc]] where I moved the documentation from the former to the latter. On another note, I noticed that your edit [[Template:Uw-refimprove\/doc|here]] caused a template loop! {{=)|surprise}} However, it wasn't quite your fault. The Singlenotice template is used instead of the documentation so the documentation subpage is redundant. Good luck! {{=)}} '''<span style=\""font-family:garamond;white-space:nowrap;\"">"
{unknown-5860},False,"[{unknown-5860}]: I'll userfy the page for you momentarily. :) <span style=\""white-space:nowrap;\"">{&#123;"
{unknown-1708},False,"[{unknown-1708}]: Can anyone stop this person vandalising?--[[:User:Greasysteve13|Greasysteve13]] 06:45, 19 November 2006 (UTC)"
Matt Yeager,False,"[Matt Yeager]: Umm... isn't the template page itself semi-protected? If so, then shouldn't it be in the category?
[Matt Yeager]: Thanks.
[Matt Yeager]: I don't really want to do this, but I'm wondering if you would please reconsider. The \""[[e (number)|e]]\"" issue occured about three months ago. That's what I meant when I said that \""I learned a lot\"" from it; I did learn an awful lot about [[WP:CIVIL]], etc. . I know I DID make mistakes on the page in multiple facets, but I'm wondering if you could point out any time where I really \""lost my head\"". I don't personally believe that I ever acted ''too far'' out of line; I'd really appreciate knowing where I went so wrong (if in fact I did), since once a source emerged for the claim, I did back off. I haven't asked any of the other \""oppose\"" voters to reconsider (though I might), but you seemed to have a very positive opinion of my adminship potential, except for one (admittedly bad) mistake I made. I really do believe that I've learned from that mistake, and hope that you reconsider (though of course I understand why you wouldn't).
[Matt Yeager]: That's one example. I don't have all that many others, because I don't do the \""talk page of contentious article\"" thing so much anymore. That's why, actually, my little musical note redirects to [[Special:Random]]... because that's how I've made so many of my worthwhile edits (like the ones to [[Chris Vance]], [[Dedan Kimathi]], etc... some totally random dudes that I just stumbled across in a state of total disrepair). I've tried to put the encylcopedia first, especially since the '''e''' debacle... I've come to realize that there are vastly more important (and vastly more easily changed) things than one sentence on a certain number's importance. Really, that's the most important thing I've learned from the arguments I've had on Wikipedia, and I hope that the scope of my edits proves how thoroughly I've taken it to heart. If the reasons I've presented seem compelling enough, then I would like to ask you to please change your vote on my RFA. Thanks for listening in any case.
[Matt Yeager]: Thanks! :) I hope you're feeling better, too. Happy editing!
[Matt Yeager]: [[Image:Explosions.jpg|thumb|left|165px|My admin request went up in flames. (But thanks anyways!)]] Hey, Mathwiz2020, I wanted to thank you for your support of my (unfortunately unsuccessful) [[Wikipedia:Requests for adminship\/Matt Yeager|request for adminship]]. The final tally was 37\/16\/5, which fell short of the needed 75-80% for \""consensus\"". I really did appreciate how you changed your vote. I realized that most of the voters there were not going to change their minds, but you seemed torn, so I tried to convince you. As you did change your mind, I can claim a [[moral victory]] (one of my pet articles =P). I don't know if or when I'll go up for nomination again, but even if I don't, I will try not to betray the trust that you and 36 others were willing to place in me. Thanks for having faith in me. Happy editing... and thanks again!
[Matt Yeager]: Pi forever! =P
[Matt Yeager]: All things considered, I'd rather not request deletion. Redirects are cheap, and if anyone wants the make a funky template, they can give it another name. I can't imagine what would be properly named [[Template:Funky]], can you? So, if you don't mind too awful much, I'd really just rather have it be a redirect. You can always nominate it yourself at RFD if it's that big of a deal to you, but I don't think that I'm going to myself. Cheers,
[Matt Yeager]: Actually, scratch that... I just re-created the \""funky\"" template, because I want to have the word \""please\"" in there--just to be politeand all--and other editors are against that. So, I won't bug them about {{tl|for}}, and will just keep {{tl|funky}} for the \""please\"" version. What's wrong with almost-redundant templates, after all? (Or is there something wrong with them--I honestly don't know for sure!) Anyways, hope that this isn't unacceptable to you.
[Matt Yeager]: Congratulations, again. Good for you, and good for the encyclopedia. Block some vandals for me!
[Matt Yeager]: Right here at [[Wikipedia:Requests for adminship\/Matt Yeager 2]]. I'm really, really appreciative that you remembered, and better yet, that you were checking up on me. Dude, you're officially '''awesome'''. Here's hoping for some better luck this time! [[image:smiley.png|20px]] Thanks again.
[Matt Yeager]: Wow, you actually beat me; you supported the RFA before I even notified you on your talkpage. You're really way too good at this whole Wikipedia thing. ;)
[Matt Yeager]: Hey, I was wondering why you moved the Richland High article. It's a bad idea to have parenthenses in the name of any article unless they're needed for disambiguation, but there don't seem to be any other Richland High's. Are you about to make a disambiguation page with some names, or did I miss something?
[Matt Yeager]: Oh, I'm not faulting you at all... I'm just worried that we're only just starting to air out our arguments, and suddenly there's this 5-days-left time bomb. And I know it's just an informal survey to see where everyone stands, but I'm concerned we might have people on either side say \""Oh, my side won 8-6, we're totally moving it to Matchbox Twenty (or keeping it at matchbox twenty)\"". But I appreciate the idea, I'd just personally have wanted a bit of a longer wait. In a few days, we may well have all the arguments clearly laid out, and then I'll feel comfortable make a \""vote\"". Cheers!
[Matt Yeager]: Which was certainly well within your rights to do.
[Matt Yeager]: When the chords in the chorus are D flat, A flat, B flat minor, and G flat, the chorus quite simply is either in non-Ionian mode or it's just in D flat. I'm certainly not going to revert you, of course. But what you should know is that the chorus is in D flat, whether the sheet music marks the key change by changing the signature or just puts in a bunch of accidentals.
[Matt Yeager]: Sure. The name \""Research Park\"" was untaken and it's essentially the only name I've ever heard for that area.
[Matt Yeager]: I looked around and it appears that you're right. Feel free to revert anytime."
{unknown-1651},False,[{unknown-1651}]: This friendly discussion should probably be on the RfC talk page. ... al
{unknown-1557},False,"[{unknown-1557}]: Varing's terminology might be anachronistic (i.e. \""French-Canadian\"" may not have been contemporary usage), but it is not necessarily incorrect. However, it may not be supported by the sources currently used in the article's he's touched -- see my question at Talk:Battle of Fort Necessity. (He's also wrong on his accusation of historical inaccuracy -- see my talk page.) Magic\u266apiano 21:33, 9 March 2011 (UTC)"
Asided m plane,False,"[Asided m plane]: <div class=\""floatleft\"" style=\""margin-bottom:0\"">[[File:Ambox warning pn.svg|42px]]<\/div>An article that you have been involved in editing, [[Bunding]], has been listed for [[Wikipedia:Deletion policy|deletion]].  If you are interested in the deletion discussion, please participate by adding your comments at [[Wikipedia:Articles for deletion\/{{str trim|Bunding}}]].  Thank you.{{-}}Please contact me if you're unsure why you received this message.<!-- Template:Adw -->"
